,tBodyAcc-entropy()-X,"tBodyAcc-correlation()-X,Y","tBodyAcc-correlation()-Y,Z",tGravityAcc-mean()-Y,tGravityAcc-max()-X,tGravityAcc-max()-Z,tGravityAcc-min()-X,tGravityAcc-min()-Y,tGravityAcc-energy()-Y,"tGravityAcc-arCoeff()-Y,1","tGravityAcc-arCoeff()-Y,3","tGravityAcc-arCoeff()-Z,2","tGravityAcc-arCoeff()-Z,4",tBodyGyro-max()-X,tBodyGyro-min()-X,"tBodyGyro-arCoeff()-Y,1","tBodyGyro-correlation()-Y,Z",tBodyGyroJerk-iqr()-Y,tGravityAccMag-arCoeff()1,fBodyAcc-max()-X,fBodyAcc-max()-Y,fBodyAccJerk-max()-Y,"fBodyAccJerk-bandsEnergy()-1,16",fBodyGyro-maxInds-X,fBodyGyro-meanFreq()-X,fBodyAccMag-mad(),fBodyAccMag-energy(),fBodyBodyGyroJerkMag-std(),"angle(Y,gravityMean)",label
12,-0.84967219,-0.035235838,0.11396453,-0.1523621,0.89436796,0.074662215,0.98861347,-0.12646746,-0.96520364,-0.40000946,-0.33209989,0.011595614,0.046128667,-0.88615917,0.84358903,0.13893261,-0.72780909,-0.99863019,0.47983276,-0.9988687,-0.97925769,-0.99119548,-0.99999276,-1.0,0.024244269,-0.99623576,-0.99995908,-0.99905917,0.18761054,5
13,-0.88821474,0.043618841,0.097965304,-0.15414125,0.89436796,0.0740879,0.98889992,-0.12646746,-0.96428473,-0.31762766,-0.23638524,0.13306446,0.1858735,-0.88615917,0.84623834,0.19967143,-0.57422528,-0.99788541,0.47104019,-0.99995159,-0.99039023,-0.99271988,-0.99998887,-0.8,0.26934763,-0.99773575,-0.99998225,-0.99905443,0.1888122,5
14,-0.16320286,0.82187193,0.94534472,-0.29262334,0.87758813,-0.0073619503,0.94674897,-0.31953731,-0.85222007,-0.96405311,-0.96696057,0.95737213,0.96422055,-0.85984111,0.82506425,0.065536658,-0.99177193,-0.99341811,-0.52053044,-0.9864893,-0.78435735,-0.99163679,-0.99996527,-0.86666667,-0.019135493,-0.88354181,-0.98568034,-0.98927719,0.28315855,5
15,-0.62797094,0.32959319,0.53873094,-0.26311695,0.8781599,-0.0073619503,0.96863457,-0.24813963,-0.88412852,-0.96439533,-0.97278759,0.95243163,0.97140009,-0.8747857,0.84535354,-0.091823163,-0.99166,-0.99606021,0.028785268,-0.99887232,-0.97698873,-0.99683558,-0.99998059,-1.0,-0.29813287,-0.98524141,-0.99979625,-0.99883527,0.26311858,5
16,-0.64563295,0.28049739,0.53834512,-0.26509148,0.8781599,-0.0084768639,0.97277627,-0.23590783,-0.88229013,-0.79164383,-0.77872672,0.6476996,0.66103583,-0.8748622,0.84535354,-0.21036942,-0.94804831,-0.99739532,0.071744981,-0.99819663,-0.982284,-0.99528926,-0.99998339,-1.0,-0.1417567,-0.98799344,-0.99986681,-0.9984604,0.26432447,5
17,-0.64211168,0.15336261,0.1283793,-0.26471825,0.87888016,-0.016709792,0.97297016,-0.23590783,-0.88264601,-0.47077138,-0.41931813,0.30086211,0.29561713,-0.8748622,0.84304451,-0.16985098,-0.8987999,-0.99768566,0.088873196,-0.99901272,-0.98787961,-0.99420234,-0.99998695,-1.0,0.01317909,-0.99048642,-0.9998989,-0.99761851,0.26403279,5
18,-0.70181918,0.19087473,0.030811416,-0.26305774,0.87908726,-0.01925744,0.97325777,-0.23427394,-0.88422429,-0.33754638,-0.2996823,0.19806161,0.22565888,-0.87883655,0.84277019,-0.18106363,-0.50115438,-0.99835905,0.23503767,-0.99789888,-0.99643361,-0.99307089,-0.99998347,-1.0,-0.032881452,-0.9956196,-0.99997018,-0.99819704,0.26288599,5
19,-0.80591961,0.1109392,0.25549758,-0.26348997,0.87908726,-0.01925744,0.97336429,-0.23399273,-0.88381482,-0.24496335,-0.17925064,0.19508609,0.259883,-0.88458597,0.84277019,0.0073890131,-0.42432631,-0.9989153,0.2588646,-0.99920493,-0.98855611,-0.99204065,-0.99997684,-0.8,0.047905446,-0.99710355,-0.99998686,-0.99956029,0.26316935,5
20,-0.74225103,0.067142244,0.20571749,-0.2634369,0.87877147,-0.020073203,0.97318829,-0.23399273,-0.88386424,-0.0624868,0.04599621,0.15722109,0.2241376,-0.88693926,0.84512415,0.17006682,-0.020311386,-0.9986342,0.37918152,-0.99852864,-0.99484229,-0.99388912,-0.999978,-0.8,0.24488852,-0.99724765,-0.9999773,-0.99915254,0.26318349,5
21,-0.74225103,0.11619943,0.11959726,-0.26189643,0.8786168,-0.019785586,0.97318829,-0.23351308,-0.88531821,0.10921283,0.22729581,0.073367805,0.17438906,-0.88645059,0.84421838,0.21500336,-0.28695692,-0.99851914,0.49183407,-0.99955202,-0.99096362,-0.99223538,-0.99998924,-1.0,0.1732064,-0.99640334,-0.99997137,-0.99888625,0.26217028,5
22,-0.79605084,-0.097758652,0.10756232,-0.26245862,0.8786168,-0.019785586,0.97269154,-0.23493193,-0.88478599,0.23044755,0.35401547,0.22555884,0.29409522,-0.88489044,0.84421838,0.14630229,-0.66813743,-0.99875361,0.56248951,-0.99850962,-0.99442693,-0.98914574,-0.99998712,-0.53333333,0.15286778,-0.99671293,-0.99996866,-0.9985402,0.26255006,5
23,-0.72891185,-0.041202468,0.43650203,-0.26500697,0.87858596,-0.019791384,0.97263986,-0.23580584,-0.88237099,0.18351046,0.29658698,0.34254024,0.39162361,-0.88485843,0.84640091,0.15423912,-0.59754001,-0.99854219,0.51452452,-0.99894324,-0.99063155,-0.98708931,-0.99998909,-0.86666667,0.20210878,-0.99635247,-0.99995831,-0.9990231,0.26425623,5
24,-0.64067755,-0.22370213,0.26522187,-0.2650432,0.87914624,-0.019939193,0.97263986,-0.23580584,-0.88233553,0.0080437014,0.12140007,0.41335749,0.46151667,-0.88396171,0.84387111,0.14455243,-0.61982247,-0.99832712,0.3684556,-0.99858651,-0.98711606,-0.99182598,-0.99998479,-0.93333333,-0.013018887,-0.99439497,-0.99993562,-0.99886745,0.26422361,5
25,-0.66777064,0.13194588,0.28104887,-0.26194319,0.8799811,-0.018279905,0.97384493,-0.23540523,-0.88526668,-0.071545394,0.040235434,0.21906906,0.23878738,-0.88396171,0.84198968,0.12418399,-0.14512827,-0.997692,0.37553287,-0.99930853,-0.98399245,-0.98785395,-0.99998635,-1.0,-0.16758088,-0.9933374,-0.99992749,-0.99900752,0.26209013,5
26,-0.8268731,0.14266263,0.25680704,-0.26049928,0.8799811,-0.018208879,0.97436858,-0.23064937,-0.88663004,-0.26022091,-0.19280261,0.010519388,0.019912715,-0.88515685,0.84198968,0.27998746,-0.12015216,-0.99738203,0.56692166,-0.99871609,-0.9980052,-0.99344176,-0.99999904,-0.86666667,0.039766646,-0.99825222,-0.99997427,-0.99865929,0.26110336,5
27,-0.48472227,-0.99084317,0.98594537,0.042479149,0.86053314,0.40688316,0.84957326,-0.19754314,-0.95460358,-0.98417367,-0.98563708,0.99917535,0.99522524,-0.85690913,0.82493137,-0.40866064,-0.63115234,-0.99528718,-0.68011299,-0.89152802,-0.12515136,-0.96061757,-0.99996039,-1.0,-0.065895342,-0.35864225,-0.66472232,-0.9772135,0.054216165,4
28,-0.23878855,-0.92931336,0.4389848,0.16067501,0.79063055,0.40688316,0.84957326,0.1212898,-0.93761402,-0.98263216,-0.98779076,0.96468337,0.97696869,-0.89336443,0.83426679,-0.25966986,-0.92411172,-0.99804626,-0.20433788,-0.97940104,-0.87363518,-0.98380385,-0.99997115,-1.0,0.10066045,-0.95062368,-0.9970138,-0.99876688,-0.027044798,4
29,-0.49617852,-0.83824416,0.73545553,0.15187734,0.76602185,0.39142898,0.85049913,0.16770112,-0.94407951,-0.9292997,-0.92011409,0.68868295,0.67952194,-0.89029284,0.83998948,0.045575685,-0.98405056,-0.9981111,0.05450173,-0.99166907,-0.93018288,-0.99378542,-0.99998561,-1.0,0.0044110032,-0.97145278,-0.99929022,-0.99932551,-0.021566893,4
30,-0.45326871,-0.026317204,-0.36271177,0.15070183,0.76878451,0.37614708,0.85834757,0.16770112,-0.94494809,-0.57767819,-0.55701822,0.88999113,0.92777936,-0.63032163,0.56901685,-0.79979291,0.73078584,-0.9935545,-0.50447927,-0.87039606,-0.80723327,-0.90820751,-0.99505655,-0.93333333,-0.38264807,-0.56971946,-0.87523456,-0.80216905,-0.020755925,4
32,-0.36605522,-0.96116524,0.88738932,0.31406786,0.76859123,0.48546096,0.62498772,0.19868948,-0.77223124,-0.89515238,-0.88033049,0.87194587,0.86624981,-0.72915049,0.8381341,-0.17197443,-0.49459284,-0.97572172,-0.81543473,-0.77229316,-0.50002458,-0.95072325,-0.99924867,-1.0,0.36521133,-0.65907776,-0.8632297,-0.94961434,-0.14254902,4
33,0.073575726,-0.9105816,0.37301588,0.40950272,0.61323374,0.48546096,0.62498772,0.34623514,-0.64576277,-0.96134662,-0.95360089,0.9847257,0.98192413,-0.88720268,0.8381341,-0.059200981,-0.5508857,-0.99084422,-0.46471086,-0.94845612,-0.83128299,-0.98539373,-0.99993061,-1.0,0.40785068,-0.90132679,-0.99331243,-0.98918242,-0.21333904,4
34,-0.21325461,-0.94519479,0.81463189,0.41986657,0.55810315,0.47877527,0.62614858,0.43370891,-0.62990781,-0.91911957,-0.92074588,0.86871496,0.86261377,-0.89334493,0.84077414,0.12880184,-0.82658221,-0.9952582,-0.042807522,-0.97226463,-0.9555195,-0.99239823,-0.99999385,-1.0,0.17608884,-0.95723704,-0.99862551,-0.9954641,-0.22111662,4
35,-0.6888614,-0.56236174,0.30846812,0.41503721,0.55810315,0.45347256,0.65132063,0.43370891,-0.63811378,-0.78113131,-0.76486965,0.78871109,0.80630545,-0.88885998,0.84174423,0.16677427,-0.6252721,-0.99618013,0.39177618,-0.99098671,-0.98997958,-0.99466432,-0.9999892,-1.0,0.021293298,-0.99471872,-0.99994398,-0.99554573,-0.21772934,4
36,-0.62789491,-0.42516976,0.26757742,0.41648854,0.55392299,0.45347256,0.65132063,0.43508944,-0.63568795,-0.12224076,-0.026527931,0.087409964,0.086953817,-0.88865141,0.84512874,0.12656252,-0.63934445,-0.99696493,0.48517375,-0.994747,-0.99819237,-0.99314857,-0.99999307,-0.2,0.50889684,-0.9987991,-0.99998966,-0.99580097,-0.2189352,4
37,-0.6904156,-0.3349185,0.12085188,0.4168573,0.55365758,0.45297816,0.65179327,0.43715959,-0.63507009,0.04957856,0.077227879,0.17452078,0.18316805,-0.88702141,0.8455235,0.026879617,-0.22948743,-0.99563416,0.28968221,-0.99484722,-0.99715036,-0.99386568,-0.99998551,-1.0,0.2267544,-0.99294616,-0.99994542,-0.99636766,-0.21916689,4
38,-0.79122833,0.091107372,0.049251575,0.11359108,0.83656109,0.32877176,0.89503171,0.11467318,-0.965553,-0.96931555,-0.97755888,0.79071757,0.80631965,-0.94512331,0.7447236,-0.025463169,0.55173462,-0.99493368,-0.26899364,-0.97567081,-0.85881092,-0.98432086,-0.99994075,-1.0,-0.26690398,-0.94319124,-0.99800238,-0.99346944,0.0061411057,4
39,-0.62744626,-0.68810256,0.14751037,0.12558056,0.81832977,0.31816978,0.89495487,0.11750282,-0.95969232,-0.93882482,-0.93312137,0.45136699,0.45127241,-0.90988597,0.76524083,-0.16286097,-0.042144153,-0.99550957,0.062678045,-0.99314026,-0.92939493,-0.99042914,-0.99996629,-1.0,-0.0061954885,-0.9585279,-0.9981116,-0.9955675,-0.0030485384,4
40,-0.55501715,-0.068030921,-0.10108775,0.14006721,0.80223406,0.31370149,0.89495487,0.15705003,-0.95174373,-0.89737721,-0.90013523,0.22418371,0.2621744,-0.89306907,0.80100212,-0.10283699,0.60486936,-0.99633088,0.17341212,-0.99717631,-0.98057222,-0.99240359,-0.99996499,-1.0,-0.055776458,-0.99399387,-0.99994806,-0.99642101,-0.013061244,4
41,-0.58487827,-0.23155646,0.10309262,0.1392361,0.80246354,0.31338527,0.89682418,0.16094201,-0.95225008,0.11191047,0.25946517,0.2077236,0.24603186,-0.88427725,0.828909,0.15613556,-0.053418344,-0.99666981,0.15998704,-0.99734907,-0.97983964,-0.99094409,-0.99995688,-1.0,-0.053054666,-0.99251046,-0.99991896,-0.99565892,-0.012405519,4
42,-0.72562105,-0.22899227,0.088823542,0.13843401,0.80246354,0.31226721,0.89708448,0.16094201,-0.95273563,-0.075385241,0.050518082,0.14113931,0.19845662,-0.88304846,0.84181316,0.21714221,-0.075413977,-0.99589786,0.12490326,-0.99685439,-0.97438528,-0.98955961,-0.99996865,-1.0,-0.025235088,-0.99185734,-0.99990101,-0.99725922,-0.011866506,4
43,-0.59193466,-0.53852513,0.2066975,0.14222283,0.80216168,0.31226721,0.89639725,0.16114168,-0.9504103,-0.2364667,-0.13285045,0.50071993,0.59002545,-0.88219188,0.85028275,0.11439693,-0.008998401,-0.99571452,0.12619287,-0.99459654,-0.95957001,-0.99152006,-0.99998364,-1.0,0.15230399,-0.99118565,-0.99990846,-0.99822553,-0.014516278,4
44,-0.57077255,-0.57669161,0.35977494,0.14258451,0.80274896,0.3122656,0.89639725,0.16424515,-0.95019443,-0.34854513,-0.26611325,0.48701564,0.49436852,-0.88219188,0.84817627,0.013322865,-0.49023117,-0.99576981,0.15392026,-0.9937423,-0.97228747,-0.98884084,-0.99997373,-1.0,0.085242794,-0.99145924,-0.99992142,-0.99717794,-0.014783523,4
45,-0.70279324,-0.36229685,0.0079644085,0.14162959,0.80274896,0.31125911,0.89651331,0.16424515,-0.95078908,-0.44843323,-0.37912961,0.4466005,0.44793169,-0.88580301,0.84724902,0.10086126,-0.23965602,-0.99657154,0.25959146,-0.99796996,-0.98924101,-0.99382446,-0.99997498,-1.0,0.50671831,-0.99602734,-0.99997345,-0.99708205,-0.014168187,4
46,-0.66777064,-0.28376706,-0.052470967,0.14485798,0.80180866,0.30950697,0.8963139,0.16504084,-0.94877602,-0.28594459,-0.19912359,0.4168477,0.45102806,-0.88568532,0.84720993,0.14516154,-0.2179589,-0.99694186,0.5108614,-0.99811357,-0.97652234,-0.99227296,-0.9999748,-0.8,0.51570841,-0.99810681,-0.99998071,-0.99784862,-0.016451134,4
47,-0.67587898,-0.1916099,0.2049001,0.14560336,0.80079378,0.31047821,0.8963139,0.16844061,-0.94831321,-0.16087065,-0.05847535,0.37635859,0.40191318,-0.88568532,0.84567995,0.01615292,-0.52013163,-0.99703824,0.46610292,-0.99789241,-0.97930411,-0.98909625,-0.9999778,-1.0,0.40457829,-0.99568965,-0.9999587,-0.99796309,-0.016965715,4
48,-0.73378659,-0.28922021,-0.17358214,0.14572717,0.80079378,0.3119598,0.89443607,0.16844061,-0.94823201,-0.092961733,0.028159998,0.36960837,0.38506266,-0.88760392,0.84567995,0.042665647,-0.36396771,-0.9975735,0.31971511,-0.99823049,-0.98194527,-0.99526535,-0.99997727,-0.93333333,0.42379961,-0.99354818,-0.99993519,-0.99767112,-0.017046458,4
49,-0.6153181,-0.52365629,0.078122989,0.14758583,0.80001788,0.3119598,0.89441143,0.16910986,-0.94705191,-0.18801906,-0.078919954,0.42175286,0.44205682,-0.88681081,0.84638493,0.095139052,-0.53704691,-0.99696093,0.23166246,-0.99589678,-0.97160134,-0.99171575,-0.9999829,-1.0,0.28958685,-0.9940028,-0.99993461,-0.99754752,-0.018360329,4
50,-0.60780508,-0.44815828,0.63379014,0.1456773,0.80081269,0.31101375,0.89441143,0.16737981,-0.94825608,-0.0057622733,0.12786813,0.147497,0.14617285,-0.88681081,0.8439367,0.02245494,-0.58580627,-0.99634946,0.32144647,-0.99803253,-0.97201158,-0.99173383,-0.99997244,-0.86666667,0.54781344,-0.99329207,-0.99994205,-0.99594383,-0.017047243,4
51,0.58372185,0.49259942,-0.61831977,0.77465873,-0.27190525,0.61912072,-0.28910234,0.78650142,0.21233212,-0.18704589,-0.13588974,0.83106826,0.82400843,-0.80512776,0.82613294,-0.52439858,-0.48384633,-0.99182912,-0.56793796,-0.90677536,-0.9512361,-0.92969695,-0.99859196,-0.73333333,-0.12946319,-0.84740112,-0.98426486,-0.93054398,-0.55335148,6
52,-0.44546439,-0.38814507,-0.47637782,0.7739047,-0.27190525,0.57656471,-0.19419584,0.78712383,0.21002685,-0.33943902,-0.26460546,0.81237378,0.81511595,-0.8541759,0.85191267,0.09813786,-0.83510161,-0.9970135,0.30315973,-0.98252334,-0.99343673,-0.99096036,-0.99995249,-1.0,-0.1772947,-0.97996146,-0.99955096,-0.99855628,-0.55036444,6
53,-0.61639425,-0.19946053,-0.23330795,0.77171208,-0.2721186,0.57673721,-0.16510276,0.78665169,0.20332807,-0.038813065,0.038848688,0.59665293,0.62685423,-0.87303756,0.84759369,0.19180297,0.56614233,-0.99767984,0.47328138,-0.99491986,-0.99657375,-0.9905404,-0.99996648,-1.0,0.039468108,-0.99632787,-0.99995265,-0.99834175,-0.54672465,6
54,-0.60451257,-0.38771752,-0.42817909,0.77109662,-0.27787264,0.57673721,-0.16510276,0.78619681,0.2014531,-0.22134889,-0.22045403,0.19727246,0.30804691,-0.88326975,0.8463354,0.0088913876,0.18645333,-0.99771444,0.66726788,-0.99581249,-0.99695367,-0.9929091,-0.99996047,-1.0,0.088837787,-0.9990687,-0.99998593,-0.99869335,-0.54647681,6
55,-0.71489166,-0.27673377,-0.27661157,0.77103706,-0.27787264,0.57656984,-0.16347696,0.78619681,0.20127172,-0.14152631,-0.10303751,0.29555051,0.34114142,-0.88844616,0.84620948,-0.066739465,0.22752239,-0.9975202,0.52387075,-0.99777102,-0.99869165,-0.99175845,-0.99996916,-1.0,0.42505194,-0.99775192,-0.9999809,-0.99936052,-0.54671226,6
56,-0.61639425,-0.00056944153,-0.075398299,0.77129107,-0.27772943,0.57636895,-0.16308855,0.78638623,0.20204511,0.3065737,0.38275484,0.22613322,0.26105499,-0.88850698,0.84500089,0.030113545,-0.051786571,-0.99739802,0.42335466,-0.99452846,-1.0,-0.99496767,-0.99995103,-0.6,0.35721184,-0.99500852,-0.99994911,-0.99894755,-0.54685884,6
57,-0.61117435,-0.033535332,-0.25132829,0.77135108,-0.27768159,0.57636895,-0.16325144,0.78655448,0.20222787,0.18113906,0.26680972,0.16335716,0.20876443,-0.88690919,0.84500089,0.037882876,0.57338054,-0.99717462,0.47670727,-0.9935332,-0.99701761,-0.99227357,-0.99994466,-0.4,0.32764399,-0.99516517,-0.99995596,-0.99870387,-0.54671715,6
58,-0.62289996,-0.18833302,-0.28327469,0.7707487,-0.27682849,0.57733759,-0.16325144,0.78504206,0.2003948,-0.061545553,-0.0088032866,0.37947132,0.43378255,-0.88690919,0.84610921,-0.016194133,0.49324949,-0.99815671,0.26616345,-0.99749601,-0.99645015,-0.99021327,-0.99996435,-1.0,0.274076,-0.9927993,-0.99993243,-0.99833283,-0.54624972,6
59,-0.56784694,-0.33115301,-0.096512059,0.76992271,-0.27547292,0.57733759,-0.16324532,0.78503566,0.19788152,0.18428729,0.28391531,0.389767,0.42152481,-0.88709861,0.84688234,0.070413091,0.5286458,-0.99860971,0.1533475,-0.99794942,-0.99273319,-0.99200066,-0.9999617,-1.0,0.2403441,-0.99178736,-0.99991921,-0.99909877,-0.54555047,6
60,-0.62435726,-0.36586373,-0.20623014,0.7692959,-0.27528116,0.57924446,-0.16163737,0.78402049,0.19597683,0.28657269,0.42245942,0.26446831,0.28341775,-0.88704158,0.84706449,0.051175176,0.48928441,-0.99801255,0.40317196,-0.99759991,-0.99082441,-0.98822413,-0.99994811,-0.6,0.36170784,-0.99506529,-0.99994797,-0.99928455,-0.54467991,6
61,-0.64998448,-0.27195948,-0.26066414,0.7691518,-0.27528116,0.57924446,-0.16166286,0.78402049,0.1955391,0.032344474,0.14377715,0.30481659,0.34925033,-0.88651809,0.84513704,-0.01627743,0.46903841,-0.99756835,0.46827528,-0.99529989,-0.99597196,-0.99456464,-0.99994914,-0.33333333,0.4345329,-0.99666019,-0.99996508,-0.99845846,-0.54419774,6
62,-0.62797094,-0.20704416,-0.2474798,0.76962832,-0.27572579,0.57982023,-0.16166323,0.78418985,0.19698672,-0.29244596,-0.26385359,0.20094892,0.25751525,-0.88651809,0.84513704,0.13723442,0.55618642,-0.9980683,0.51729933,-0.99746615,-0.99708417,-0.99647206,-0.99995923,-1.0,0.33218508,-0.99804386,-0.99998544,-0.99853391,-0.54444236,6
63,-0.57725785,-0.27441241,-0.1772815,0.76946735,-0.27609877,0.58018749,-0.16166323,0.78468248,0.19649751,-0.17906128,-0.15188958,0.034896525,0.054975457,-0.88729264,0.84648464,-0.009315639,0.58474853,-0.99706325,0.66383564,-0.99665439,-0.99757513,-0.99572963,-0.9999577,-0.4,0.2612734,-0.99823885,-0.99998656,-0.99840436,-0.54399111,6
64,0.030495821,-0.86499754,0.69172976,0.75845367,0.36664438,0.53123587,-0.034266092,0.64514204,0.16687362,-0.78707117,-0.75692061,0.92252504,0.91723017,-0.62475119,0.8897609,0.0053962989,-0.163472,-0.96376925,-0.26728264,-0.66795296,-0.69005647,-0.90893652,-0.99813566,-0.93333333,-0.40627381,-0.4624772,-0.8259663,-0.90994766,-0.53610387,6
65,0.24129231,-0.83598551,-0.041688365,0.76866913,-0.091058425,0.53123587,-0.034266092,0.76798308,0.19457285,-0.92422416,-0.92103117,0.79527659,0.87341306,-0.77855405,0.86974683,-0.17723411,0.70433513,-0.98733906,-0.16969368,-0.9468788,-0.88943263,-0.99164198,-0.99983837,-1.0,-0.28489973,-0.94552287,-0.99618379,-0.9872632,-0.54409199,6
68,0.55465971,0.78647415,-0.91446291,0.65518574,-0.23357869,0.7636324,-0.36185847,0.63328245,-0.12368006,-0.89421507,-0.88203608,0.96645221,0.96164573,-0.62240234,0.71890741,-0.25855403,-0.44118205,-0.97264391,-0.84769649,-0.80084104,-0.76483723,-0.94677875,-0.99958482,-0.8,-0.19115136,-0.80047739,-0.9733478,-0.92066111,-0.43127083,6
73,-0.27266036,-0.74555209,0.33253621,-0.05899586,-0.8177253,0.99232072,-0.71024001,-0.080349227,-0.99015441,-0.94133069,-0.96588811,0.94463983,0.96169889,-0.76295445,0.88844326,-0.10429374,-0.29290844,-0.98577037,-0.61429456,-0.97941285,-0.58661312,-0.95660772,-0.99989137,-1.0,-0.36665944,-0.77148933,-0.96650477,-0.985195,0.12501854,6
